image1,image2,image3,choice
138,79,1717,2
19,549,1673,1
1558,564,1068,3
1554,30,1253,1
606,1614,1315,3
1692,864,77,1
72,1599,348,3
1775,177,1107,2
1540,595,174,1
1677,243,220,2
1767,1695,201,1
901,337,1365,3
757,424,1549,2
1533,374,1393,2
422,479,30,2
1706,534,1774,2
1200,816,1198,2
754,569,71,1
1297,562,887,3
1458,1771,1610,1
1133,1224,246,3
1298,564,1598,2
1096,1549,1460,3
553,610,6,1
342,891,208,2
305,255,907,3
1418,146,1132,3
558,986,1576,3
296,921,62,3
1366,1031,1220,2
576,1837,747,2
292,203,1153,2
711,105,1430,2
479,440,56,2
1317,472,253,2
26,390,1232,3
1570,19,1630,1
1533,375,1476,1
1489,482,1045,2
961,464,672,2
1675,1713,1511,1
355,1412,1751,1
173,603,1210,3
1560,833,1099,3
1052,401,1184,2
1827,502,1391,2
538,1118,953,3
350,257,14,2
1226,1667,989,2
650,6,1269,3
1009,1381,495,2
1321,1054,1244,2
160,884,896,2
371,496,1415,1
1034,299,884,1
124,173,688,1
333,179,710,1
1334,500,431,3
1001,334,1396,3
878,490,1498,1
710,455,1541,3
1010,1578,642,3
1539,1714,1528,3
1591,1298,450,3
963,1234,787,1
87,841,1664,3
1606,440,1232,3
1118,648,1440,3
788,1407,1257,1
864,1314,860,2
580,1776,110,3
592,450,1851,3
1074,357,267,3
390,298,1712,2
783,786,641,3
1092,268,767,3
496,406,1138,1
847,78,1564,3
241,1357,1159,1
620,234,830,1
506,1734,605,2
1782,1793,398,2
1828,870,1550,2
1277,888,263,1
378,1242,203,3
1205,1226,255,2
197,1023,1551,2
296,1574,893,3
909,82,690,2
839,305,696,3
787,820,461,1
1671,766,1541,3
631,1101,1116,3
962,1266,1724,2
155,1697,763,3
622,1429,727,2
93,866,908,2
921,154,1398,1
1801,1082,895,1
1321,1674,1101,1
1705,1098,764,1
371,1367,1560,2
1222,1280,352,3
341,1026,831,1
838,1388,45,1
1705,1303,486,3
1290,1729,1252,1
1455,477,570,1
1764,669,295,2
1412,308,1270,2
353,602,1590,1
119,1638,1046,3
350,897,1744,2
132,571,1263,3
767,1412,1548,3
557,952,1691,3
1120,1548,308,1
635,485,1357,3
1759,360,1560,3
1411,1431,716,3
1815,454,1684,2
169,1748,796,2
138,479,1822,3
142,1369,199,2
1088,916,70,1
1020,902,1093,1
96,852,1364,3
12,1616,371,2
80,943,1054,1
489,937,244,1
640,1361,1751,1
1630,1376,755,1
78,4,172,2
1787,1141,322,1
708,17,1385,3
1368,300,1079,3
1454,1069,1662,3
1485,197,809,2
456,162,1422,3
220,180,391,1
175,487,590,3
1560,1194,1069,2
1432,55,911,2
1809,1849,1748,1
1181,1479,1678,1
1202,1080,527,1
1123,1514,302,2
1422,908,11,2
637,1620,975,1
1101,171,770,3
503,1632,1196,3
1164,804,667,1
47,718,724,1
550,388,1716,1
93,1772,19,3
1189,1834,1649,3
869,1136,672,2
855,983,7,2
812,1249,205,3
350,934,645,1
551,667,165,1
663,496,196,3
1301,1329,1030,3
1526,156,1315,3
851,23,1086,1
272,654,53,2
1315,1347,1537,3
1140,220,351,2
285,108,535,3
790,1279,1180,2
1066,1469,29,3
1315,1705,522,1
876,813,50,2
1685,745,910,1
454,124,860,3
1801,1683,972,3
1328,50,496,3
1815,525,838,1
1317,1694,584,2
1436,1828,1662,2
1483,1554,328,3
665,242,427,1
1035,1708,706,3
1166,247,1136,3
1472,622,1384,3
210,97,1770,1
1227,825,294,3
1165,970,1012,1
1323,961,1132,3
1680,224,1851,2
650,1596,1727,3
953,1420,1411,3
226,299,722,2
1594,75,974,1
1755,813,66,3
1134,1265,401,1
1741,156,1339,1
902,203,732,3
1535,1396,289,3
549,55,978,2
643,282,1413,2
1778,1243,1114,3
1465,1566,1839,1
4,1294,1502,3
411,1281,532,2
588,427,1087,2
1356,231,1206,1
1800,34,1567,2
256,498,370,1
111,1532,779,3
1031,561,637,3
1382,1345,1110,1
1197,524,1813,2
821,172,1059,3
1446,1535,1001,2
126,1116,1494,2
1595,1551,959,1
1789,758,1289,3
1024,1724,477,2
1237,257,1733,2
704,376,1572,3
1421,910,1405,2
1694,227,1213,1
1546,19,244,3
1412,1058,1311,2
1014,183,752,1
1037,1249,432,1
234,1027,454,2
1449,996,1223,2
1257,9,951,1
715,1761,1077,2
1754,644,249,3
705,294,1501,1
339,1393,571,1
1334,993,978,2
831,667,520,2
1133,1356,1721,1
1750,698,1777,1
343,1290,1852,2
913,1814,729,1
1420,1835,17,2
32,1726,147,2
829,1631,593,2
817,1767,1379,2
383,1305,1341,2
1038,1389,1086,2
841,525,1656,3
854,253,923,3
153,419,1591,2
159,361,1141,1
1196,295,310,1
445,673,722,2
530,643,1479,1
1419,1629,431,2
1023,978,1338,1
815,413,1154,1
1721,1718,930,3
1652,283,138,3
211,1683,1079,3
1515,1264,96,1
1486,783,381,3
1168,1147,810,1
1502,871,1327,2
1605,118,7,3
1150,932,760,2
1153,194,1095,1
1021,921,924,1
1602,308,1497,3
1197,1439,281,3
1225,1228,1351,1
787,1086,509,2
945,331,647,3
1283,910,92,3
984,1743,304,1
1321,505,1554,2
610,820,499,2
1635,686,331,3
1527,253,1433,1
976,1688,476,2
530,1583,428,2
449,1059,859,3
1729,1743,1149,3
12,435,1486,1
1727,1200,1836,2
1330,654,1540,2
1144,1443,1414,2
556,1263,1249,2
1320,1435,481,1
1563,1263,315,1
992,1396,109,2
1555,1099,1821,1
1424,951,1618,3
1036,1704,1009,2
1426,1685,328,3
1184,468,1831,1
284,359,475,1
874,1755,1170,1
523,1575,143,1
525,1118,950,3
1067,801,46,1
1804,838,1421,3
373,108,1049,3
241,383,1839,3
1506,1564,1100,3
800,518,691,2
61,1728,1031,3
978,627,1298,3
561,1004,319,1
1763,1764,458,3
704,615,617,2
1384,631,1629,3
1402,582,1680,3
625,1738,1379,3
445,1253,631,1
1585,407,832,3
1038,1566,1836,1
119,1267,218,2
188,837,1559,3
167,1484,896,2
347,1319,1848,1
1678,467,454,1
991,1178,749,1
435,608,1646,2
1337,731,781,1
177,761,386,3
815,95,751,2
1303,1231,671,2
398,484,321,3
389,125,1740,2
571,1240,531,2
1748,833,386,1
1674,471,1495,2
116,870,521,1
1644,295,502,1
59,1830,840,3
1034,1195,1813,3
701,1775,1694,2
1091,1156,505,1
357,747,222,1
1277,281,1404,2
769,1148,1271,2
1110,1674,1467,2
1723,962,1383,1
935,402,1169,1
256,1027,545,2
1421,1365,253,2
252,620,130,1
1840,1253,754,3
248,1697,142,2
1835,571,1232,3
1577,860,930,3
147,1432,1206,3
361,1474,386,1
1753,114,1439,1
268,757,809,2
1148,101,370,2
93,1326,595,1
1025,1580,785,2
1629,209,1067,3
1255,1350,973,3
21,330,1602,3
935,1604,134,2
1353,951,1744,1
522,1843,664,2
567,1527,39,2
185,579,869,3
1764,1290,1587,2
535,557,1538,1
450,936,1504,3
129,162,1263,3
935,490,543,3
851,191,1778,3
1369,658,136,3
45,801,1284,2
1780,1626,345,1
1546,968,146,1
554,970,673,3
1078,545,376,2
1666,245,1370,1
1504,1061,1121,1
809,1117,40,3
841,1198,1662,2
937,1634,828,1
1375,755,1574,2
301,951,322,3
1495,1162,957,2
1614,1231,821,2
1086,484,1115,1
465,214,344,1
597,39,240,1
1376,1018,892,2
1804,607,1049,2
1351,1669,1216,2
1624,828,745,2
364,1370,571,1
951,1675,1081,3
315,970,393,1
1539,1666,1533,3
1542,1828,491,1
1632,266,98,3
1745,1852,1793,1
1247,1431,517,1
1318,1411,1243,3
1526,97,786,1
1707,1400,195,3
1573,667,1375,2
1648,329,1844,1
1704,1321,78,2
1194,666,309,1
1401,1102,441,1
1178,1008,520,3
796,630,1807,3
161,1016,1006,2
151,622,375,3
744,676,556,3
1761,1619,1787,2
722,1804,1504,3
1178,929,222,2
1620,332,1166,3
1721,1790,337,3
433,165,1103,1
1079,516,680,1
1690,1462,238,1
1117,1193,1010,1
869,1705,128,2
1591,544,17,1
1463,1190,1299,2
992,665,338,3
1151,1762,1285,1
1798,1622,689,2
1140,1372,879,3
1447,392,1313,3
1768,202,865,2
1114,396,1500,3
1208,1719,867,2
797,944,270,3
407,923,1640,3
244,1263,1236,3
1701,1408,483,1
815,1735,262,3
1013,642,178,3
1129,937,307,2
391,572,1205,1
560,1526,540,1
1792,1621,941,2
747,1326,1009,2
1749,862,913,1
1204,243,1587,3
1777,51,663,2
1122,317,206,3
1017,1568,460,1
1399,575,280,3
839,1218,565,3
660,421,986,1
1050,594,1474,1
1,847,112,2
135,398,1038,1
1677,786,1246,1
1358,1292,245,1
726,625,1441,3
92,1595,1587,1
1181,523,1445,2
774,252,1632,2
1712,1106,1826,2
1416,50,317,3
1308,128,746,1
45,418,79,1
730,403,1246,2
922,264,1489,2
1345,1578,711,2
1759,1778,834,2
391,496,203,2
734,1720,1555,2
572,1322,1055,3
122,92,1618,1
94,275,1706,1
1120,468,778,2
310,586,1110,1
1237,266,1849,1
1846,1727,532,2
707,1460,188,3
243,1367,1073,2
549,291,714,1
326,1385,207,2
271,684,203,2
1769,894,1165,1
1158,111,1140,2
1734,795,543,1
743,35,131,1
594,1658,1394,2
110,1148,1638,2
754,1263,295,2
177,1511,1841,1
441,1500,749,3
1850,308,375,3
714,713,1181,1
1718,1378,679,1
937,248,1035,2
121,251,1253,3
1336,751,895,2
1278,1796,959,2
1711,1464,1275,3
1491,76,984,1
885,205,564,3
67,923,1807,1
119,1218,1609,1
1195,1241,1729,1
1435,839,454,2
671,1343,825,3
1186,5,788,3
51,1639,1370,3
1340,199,281,1
1745,1441,1604,3
611,658,1523,2
1362,22,1802,3
1349,406,1184,2
1292,484,427,2
620,815,1076,3
1742,975,40,1
497,735,1399,1
1467,1433,916,3
688,401,1571,3
157,849,1292,1
1731,834,1226,3
1160,1362,1633,2
498,898,1360,1
1674,1518,206,2
514,433,1777,1
1088,1080,1537,1
180,1062,96,2
264,1143,150,2
760,810,734,3
1473,1692,793,1
1821,691,1261,2
522,621,1547,3
214,1694,889,3
401,1550,175,2
676,494,1465,2
218,5,626,2
175,1311,1461,1
156,899,196,1
1817,597,744,2
384,1145,1315,2
1579,907,1798,1
234,977,374,1
268,1705,669,2
595,1315,1710,1
1530,672,818,2
1702,958,1720,1
1792,968,848,3
1219,993,228,2
588,1523,1289,3
455,991,935,1
264,845,555,3
754,1690,165,1
719,954,671,3
864,1386,1465,2
527,643,1126,1
1626,494,534,1
1459,1339,1658,1
1106,1177,1021,2
495,15,1139,3
1786,1120,1799,1
917,1791,1077,3
3,636,957,3
1226,777,635,2
1042,1185,989,2
1775,301,586,3
44,1852,453,3
569,1258,585,3
544,1001,1351,2
1024,1605,1225,2
1682,885,997,2
1589,979,363,2
930,1458,518,3
421,49,1535,3
706,421,1041,2
201,634,656,3
1699,378,675,1
611,1372,1627,3
1198,563,71,3
42,1046,769,3
686,1624,944,1
1482,790,252,3
1265,1000,1331,2
500,1128,661,2
58,1249,363,2
809,362,1,2
798,658,434,3
749,289,234,1
451,255,547,1
504,1579,720,3
1124,1675,1302,3
1686,182,272,1
1307,724,1141,2
1830,1645,1703,1
1679,168,1409,1
1379,1331,745,3
764,519,1015,3
281,1052,1842,2
115,1852,587,3
537,942,644,3
1804,1640,688,2
1779,127,590,1
893,248,800,1
786,122,1515,2
1499,908,505,3
1520,598,1004,1
720,1545,372,3
1201,462,537,3
420,655,1689,3
1429,1665,1545,2
674,690,309,1
305,1215,777,1
373,1556,471,2
314,855,964,3
1443,82,1321,2
833,1227,174,3
1164,710,999,2
38,1533,1489,3
752,90,1714,3
385,622,901,2
137,1232,676,3
1381,1205,174,1
1669,425,1680,1
607,203,1674,1
1607,866,1837,3
1761,878,175,3
291,1178,954,1
1237,837,1107,1
293,301,1523,1
1602,1224,399,2
94,826,530,2
239,1773,1346,2
1182,1628,149,3
121,157,189,2
373,1154,955,2
164,1371,1587,1
432,233,143,2
651,978,364,2
1659,1390,1282,3
829,1736,1525,3
858,174,519,1
825,26,1614,3
100,1347,694,1
1812,995,1010,2
906,1666,90,2
1382,1133,295,3
232,382,1169,2
585,889,1044,1
1553,1438,958,1
245,442,1283,3
133,876,1086,1
1849,749,150,2
443,52,322,3
1312,1450,614,1
473,1292,1331,2
1274,1463,218,2
1324,1602,336,2
1439,389,1785,2
1337,564,313,3
1055,1375,1774,2
1648,208,274,3
1417,958,1091,2
1735,1764,1530,3
1109,327,246,1
1111,1020,936,3
1718,1492,1529,3
408,1591,1124,3
146,295,933,3
1279,285,384,2
412,846,1595,2
1019,1520,1492,1
433,477,666,2
884,1558,1225,1
1047,783,442,3
746,1378,1387,1
978,1795,302,2
838,508,412,1
1487,1002,1188,3
1449,448,1519,2
1532,1723,1270,1
1678,394,635,3
813,331,977,2
742,1465,891,3
376,1036,234,3
817,992,949,1
1197,1394,1369,2
1784,1075,1225,1
25,1401,1443,1
1568,738,605,1
975,727,113,2
1240,1353,891,2
740,709,1795,1
627,323,1314,2
793,256,950,2
276,340,957,3
1437,629,1713,3
563,1043,657,2
566,1783,516,2
407,541,731,3
1559,785,1720,1
1273,256,172,2
375,102,563,3
1542,171,1134,3
1604,44,1168,1
299,482,1182,1
746,614,934,3
371,274,828,3
1064,483,874,2
1385,1428,1144,1
884,1370,699,2
706,785,1245,3
1306,1516,1099,2
972,1100,923,1
642,1578,420,2
343,988,1798,2
166,180,374,3
236,625,1711,2
1120,1823,634,2
1771,113,540,3
160,712,956,3
1020,672,1415,2
1175,287,1737,1
1392,804,37,2
462,805,599,1
128,902,1679,1
1359,1014,988,1
266,1388,1723,3
1742,1028,643,3
1467,64,795,2
1135,1157,771,2
561,1395,61,3
1300,1182,789,2
354,453,1047,1
1626,213,116,1
711,128,842,2
227,955,449,2
1042,1098,206,1
599,1386,360,1
1656,1306,847,2
1657,358,1230,3
843,1219,1025,1
1704,1775,1082,1
548,234,1378,1
1542,1072,1407,1
201,586,468,3
1074,634,981,1
1768,1586,1240,3
259,902,579,1
215,1096,1122,2
144,894,1331,2
129,107,764,2
1673,1309,1436,3
1511,1622,459,3
1464,548,1418,2
461,686,148,3
1688,400,1714,3
744,544,532,1
1189,1346,1757,3
431,465,141,3
341,638,1824,2
1182,168,531,1
313,783,695,1
1346,33,838,3
776,1652,1650,1
774,690,1746,3
812,232,216,1
1551,1620,1836,2
227,598,177,3
652,5,993,3
891,615,1776,1
1032,1447,1729,1
872,439,1623,3
1434,1110,1845,2
1509,342,832,2
1595,771,230,3
412,1080,974,2
874,1718,565,2
249,1696,1374,3
812,722,1148,3
1349,1850,1782,2
959,1502,828,3
1446,431,1576,1
133,451,1747,3
1642,903,1168,3
264,556,91,3
1413,290,280,3
1283,1116,1603,1
485,369,1188,1
1401,1031,1038,1
223,705,1333,1
1334,518,751,3
1107,1232,853,3
1711,873,205,3
63,1297,1362,1
1470,1401,1370,2
1185,1200,885,2
103,840,1453,3
164,1406,1258,2
1332,633,933,2
1369,1585,1052,2
677,1786,544,1
84,962,473,1
540,1208,648,3
32,942,83,2
80,1010,1264,2
718,370,611,1
210,253,163,1
1069,1132,1299,3
1826,402,1458,3
1165,1519,41,3
1409,462,1844,3
1081,1312,1094,2
1221,1121,1259,2
1304,1527,1375,2
114,996,1201,3
58,631,602,3
1218,645,1287,2
1161,502,1348,1
4,1359,74,2
1628,502,1583,3
1766,1177,1073,1
594,1423,634,2
703,981,1130,2
940,352,1052,1
1709,802,1417,1
1849,1790,753,1
1557,233,973,3
47,460,112,3
1697,730,1185,3
250,576,1555,3
549,1239,697,3
1517,241,1105,3
215,1358,857,1
424,1767,161,1
78,440,340,2
825,174,854,2
994,907,535,1
587,6,509,1
1341,1284,1127,3
705,1155,1573,3
1658,1631,1543,1
138,939,708,2
176,1728,415,1
327,1172,1543,3
665,606,1206,3
1578,1182,1731,1
1804,297,1201,3
1332,1439,1761,3
614,1455,399,1
1546,1372,1533,3
131,1501,1375,3
610,1022,132,1
818,501,1695,1
832,1780,564,3
409,543,427,2
1238,1421,748,2
599,1652,341,3
1483,765,405,1
540,765,1697,3
412,1135,182,3
1269,1014,1329,2
1269,363,387,2
767,1815,1361,1
901,897,1746,3
287,398,1185,1
498,439,1144,1
756,1786,1842,2
37,62,327,2
721,969,1192,2
435,276,344,2
1233,1444,722,1
1648,596,862,3
660,165,1435,1
1312,1049,732,3
1291,272,1660,3
711,828,924,3
904,529,24,1
100,691,745,1
811,275,1555,2
727,115,1083,3
829,145,302,2
1195,1015,1598,3
1015,1194,1614,1
461,1813,739,1
714,424,631,1
958,1536,708,2
985,1829,490,1
1248,399,1276,2
1817,207,802,1
117,1109,682,1
391,1811,1259,1
928,825,1436,3
1073,890,89,2
1695,500,898,3
1847,1284,804,2
1435,808,811,2
1779,1012,1155,2
149,1079,1184,1
886,368,1077,2
24,319,1667,1
1387,99,390,1
559,1676,1406,1
1002,1634,143,3
1520,560,573,2
520,1728,717,2
351,293,948,3
57,718,1296,2
1544,1504,603,2
123,97,1365,1
204,1723,1364,2
1708,633,382,1
1187,528,26,3
1312,1733,551,1
1445,1040,1474,2
596,308,1338,1
378,1257,338,3
410,981,1737,3
1469,1817,515,2
1026,1007,234,3
1305,764,195,3
664,588,446,3
500,1292,1028,1
1121,724,161,2
1080,951,262,3
904,1574,367,1
328,1564,1451,3
255,1101,394,1
1574,1365,807,3
754,1586,1048,2
1800,400,1513,2
1709,529,33,1
42,1649,262,3
798,1179,646,1
1025,1158,1528,1
1854,381,807,1
649,1654,259,3
628,308,994,3
1400,252,1473,3
684,1682,198,2
118,395,1503,1
1546,1529,547,1
12,838,748,2
1628,1128,501,3
1383,308,494,3
1367,327,470,2
1045,30,1519,3
159,621,1130,2
1599,905,1228,3
166,1740,98,1
1800,1712,1212,3
405,1098,724,1
1601,1451,791,3
1507,1055,1211,2
717,989,1008,3
1847,687,51,2
1090,1312,800,1
399,1574,764,3
272,1240,78,3
59,1460,1675,2
992,1033,917,3
599,917,1213,3
181,1054,643,3
672,82,862,2
57,3,1624,3
1226,431,852,1
1025,519,836,2
961,412,948,2
1578,764,332,1
1131,699,822,3
1084,1089,465,2
890,232,446,2
554,1525,1702,2
1520,1205,889,3
21,1783,1545,3
132,1305,550,2
437,899,1810,3
906,426,483,3
637,1138,1500,1
1195,11,1095,3
279,1379,281,3
82,582,357,2
1007,1053,241,2
707,379,495,2
1075,191,909,3
1606,598,844,1
840,1583,1829,3
673,370,1044,1
1358,657,1647,2
609,1437,384,3
811,596,360,3
1783,983,1847,1
944,941,1334,3
1755,362,781,1
1661,1673,471,2
260,1095,23,1
474,643,595,1
372,1499,128,1
5,1070,387,1
1842,262,1,3
1686,1351,367,1
484,1059,502,2
1342,1367,1150,3
1414,949,103,1
747,1393,1005,3
568,869,1313,1
848,1038,424,1
1455,242,507,2
1774,1190,1701,2
230,1504,1408,1
754,900,1333,3
325,117,1786,2
801,141,1320,2
798,1171,1084,3
671,724,764,2
1255,330,713,2
107,134,314,1
912,1332,626,3
124,385,1673,3
858,310,356,3
1422,1367,729,1
45,1162,1723,2
724,1014,239,1
411,733,401,3
1476,1141,632,2
1642,659,589,3
234,880,287,3
1367,1455,195,3
1346,506,157,1
190,801,550,1
1541,51,386,1
1775,825,991,2
1104,1431,854,2
1161,1483,1070,3
1359,1722,721,2
1465,1418,915,3
564,981,1619,3
1172,662,411,1
430,258,810,3
1548,1176,1147,1
717,984,1792,2
1262,586,1495,1
1123,1612,452,2
789,1605,88,3
932,960,11,2
418,595,119,1
1134,435,1016,3
304,1815,910,3
809,91,1654,3
104,1737,1370,2
219,1304,469,1
79,1391,883,2
546,1261,1545,2
616,1700,889,1
32,1853,1498,2
1027,752,1072,1
182,1691,1032,2
1101,1399,1137,1
51,779,187,2
275,1597,289,3
1245,1721,564,1
1446,1155,218,2
628,610,1823,3
288,948,1479,2
399,555,1475,2
108,1783,881,1
982,758,295,2
716,1476,777,2
469,49,1379,2
1020,1055,1627,3
1779,836,7,1
1487,1084,1465,2
1688,1198,1085,3
1826,1197,1728,3
1585,732,1849,2
623,1734,250,3
919,1371,666,1
1321,808,256,3
1171,187,165,1
1468,1283,1000,2
492,708,1766,2
125,1268,412,3
611,620,1562,2
1043,1013,1255,2
528,1810,1267,3
636,1648,47,2
216,1649,78,2
1054,887,1072,1
1146,160,274,1
433,1456,987,1
1680,590,1220,3
1108,944,683,1
945,806,498,1
529,702,628,2
734,161,1560,2
1796,786,1352,1
1116,284,1105,2
374,1263,1459,2
137,1559,844,1
481,1565,1418,3
637,1122,607,2
327,907,155,1
1366,3,1454,1
1321,865,1755,3
1739,990,1473,2
773,1747,1330,1
70,332,912,3
922,842,904,3
1800,356,149,2
1481,895,1133,2
1538,561,1796,1
602,1650,163,3
1042,722,1092,3
938,887,987,2
571,353,154,3
428,1463,773,1
102,1610,1735,3
762,745,136,2
585,1534,1153,1
22,932,1027,3
1268,1038,770,3
444,1020,699,3
261,1537,96,3
1521,29,1263,3
811,758,1219,3
1044,1463,1094,3
843,355,708,1
851,1291,1463,3
551,541,911,2
521,1203,349,3
736,1502,778,3
1474,784,370,3
1585,919,858,1
1147,1441,1018,2
1305,1543,297,1
1644,1149,919,3
894,42,1753,2
543,164,993,2
366,1120,1458,3
1085,387,299,3
1432,25,456,1
539,184,1560,2
924,1103,1677,3
1551,920,745,3
618,1170,513,2
1085,1620,1453,1
392,424,1485,2
1644,1759,1110,2
551,1188,416,2
951,692,305,3
295,289,977,3
920,137,1292,2
1268,1128,670,3
988,1568,1418,1
779,1475,1570,1
267,770,385,3
386,260,900,3
266,1777,875,1
381,61,716,2
141,298,966,3
1185,1461,1110,3
1726,1195,980,3
158,1843,1420,2
994,1777,569,2
280,513,100,3
476,266,1401,1
953,885,658,3
1342,1172,1776,2
1249,278,395,3
703,1585,54,3
140,1381,1299,2
1364,1672,775,1
1101,296,276,1
1434,702,1125,1
1420,403,980,2
427,874,1362,3
984,304,1807,1
1426,1646,586,2
1249,553,1758,1
764,1468,421,2
1646,1648,1496,2
1821,1007,144,3
561,1254,1780,3
1621,1666,1003,1
1463,1003,228,2
431,1842,963,1
152,342,1825,2
1424,255,602,3
403,256,959,3
1013,1546,87,3
891,656,700,3
227,1006,1319,3
730,724,35,3
1156,1202,621,3
528,1188,1732,3
556,368,487,2
97,1253,904,3
222,66,273,2
393,65,334,2
1531,986,369,3
366,922,1556,2
223,121,1386,3
1485,59,1824,2
1313,1271,528,2
1494,448,239,3
275,668,1179,1
80,1435,341,2
405,1643,761,2
1590,1045,327,3
1602,259,489,3
956,532,1517,1
1153,1476,861,3
1851,1219,907,3
545,1821,1195,2
1649,1394,129,2
565,1398,964,3
401,211,647,2
1558,1015,1425,3
346,1642,1745,1
731,1083,698,1
962,642,1035,2
1211,232,1594,1
1275,1306,1328,1
600,823,602,3
1134,263,1201,1
1497,1429,1082,2
497,359,262,2
1848,1841,195,3
578,1068,1089,1
141,960,352,2
1829,454,87,1
244,1199,969,3
1246,512,1377,1
1323,1239,496,1
1499,881,258,2
1548,172,1454,1
1832,1607,1081,2
1682,66,311,3
1658,1183,488,1
863,433,1375,1
1360,4,1205,3
1002,924,165,3
186,395,638,1
688,225,1632,1
